0.003;0.001;
0.001;0.002;
0.006;0.012;
0.008;0.025;
0.012;0.02;
0.017;0.03;
0.027;0.034;
0.039;0.048;
0.038;0.05;
0.039;0.061;
0.042;0.062;
0.063;0.09;
0.07;0.105;
0.074;0.106;
0.094;0.113;
0.141;0.146;
0.121;0.174;
0.093;0.092;
0.093;0.093;
0.11;0.093;
0.127;0.111;
0.137;0.112;
0.131;0.108;
0.169;0.097;
0.19;0.116;
0.194;0.125;
0.208;0.125;
0.213;0.155;
0.246;0.126;
0.261;0.153;
0.284;0.166;
0.286;0.146;
0.292;0.173;
0.294;0.157;
0.35;0.165;
0.393;0.173;
0.354;0.194;
0.438;0.155;
0.39;0.186;
0.443;0.191;
0.464;0.196;
0.501;0.204;
0.515;0.211;
0.541;0.225;
0.558;0.206;
0.603;0.206;
0.608;0.23;
0.648;0.245;
0.668;0.226;
0.696;0.253;
0.806;0.261;
0.765;0.278;
0.796;0.325;
0.825;0.262;
0.839;0.28;
0.897;0.268;
0.918;0.281;
0.925;0.293;
0.975;0.314;
0.991;0.312;
1.055;0.326;
1.126;0.344;
1.169;0.354;
1.11;0.325;
1.148;0.339;
1.204;0.332;
1.231;0.327;
1.295;0.351;
1.32;0.35;
1.358;0.366;
1.353;0.352;
1.427;0.35;
1.558;0.394;
1.509;0.366;
1.561;0.395;
1.628;0.363;
1.58;0.403;
1.666;0.384;
1.668;0.402;
1.815;0.405;
1.749;0.427;
1.823;0.417;
1.862;0.409;
1.891;0.431;
1.977;0.44;
2.108;0.468;
2.108;0.48;
2.204;0.455;
2.17;0.484;
2.222;0.471;
2.305;0.482;
2.325;0.47;
2.405;0.482;
2.443;0.509;
2.499;0.494;
2.503;0.511;
2.737;0.507;
2.653;0.517;
2.715;0.518;
3.083;0.621;
2.753;0.534;
